                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.71463,                 1.2336,                 0.5849,                 1.1255,                0.97496,                0.97352,                0.99285,                0.80898,                0.97496,                0.97352,                0.99285,                0.77913,                0.73573,                 1.2954,                0.48119,                 1.1803,               0.001109,               0.001109,               0.001109
                     48,                0.72893,                 1.1817,                0.58809,                 1.1478,                      1,                0.99978,                  0.995,                0.79734,                      1,                0.99978,                  0.995,                0.80063,                0.71957,                 1.2054,                0.46626,                 1.1678,              0.0010892,              0.0010892,              0.0010892
                     49,                0.74887,                 1.2389,                0.58632,                 1.1988,                      1,                0.99745,                  0.995,                0.80154,                      1,                0.99745,                  0.995,                0.77751,                0.74116,                 1.2246,                0.48833,                 1.1833,              0.0010694,              0.0010694,              0.0010694
                     50,                0.76718,                 1.2563,                0.57548,                 1.1525,                0.97555,                0.99758,                0.99378,                0.81908,                0.99545,                   0.95,                0.99262,                0.77021,                0.68483,                 1.2482,                0.49939,                 1.1193,              0.0010496,              0.0010496,              0.0010496
                     51,                0.69721,                 1.1697,                0.54109,                 1.1368,                0.97476,                  0.975,                0.99243,                0.80551,                0.97476,                  0.975,                0.99243,                 0.7958,                0.69976,                 1.1305,                0.48341,                 1.1638,              0.0010298,              0.0010298,              0.0010298
                     52,                0.74061,                 1.1855,                0.57595,                 1.1296,                0.99698,                      1,                  0.995,                0.77646,                      1,                0.97206,                0.99202,                0.78132,                0.80678,                 1.1539,                0.50513,                 1.2213,                0.00101,                0.00101,                0.00101
                     53,                0.74734,                 1.1706,                0.60201,                 1.1212,                0.98569,                  0.975,                0.99451,                0.80155,                      1,                0.94871,                0.98986,                0.78662,                0.77673,                 1.2019,                0.47849,                 1.2084,              0.0009902,              0.0009902,              0.0009902
                     54,                0.69284,                 1.1469,                 0.5392,                 1.1026,                 0.9749,                0.97099,                0.98913,                0.78192,                 0.9749,                0.97099,                0.98913,                0.78479,                0.79303,                 1.1237,                0.49871,                 1.2641,              0.0009704,              0.0009704,              0.0009704
                     55,                0.67698,                 1.0984,                0.52147,                 1.0947,                 0.9983,                   0.95,                0.99025,                0.80734,                 0.9983,                   0.95,                0.99025,                0.81633,                0.74141,                 1.0781,                0.48048,                 1.2084,              0.0009506,              0.0009506,              0.0009506
                     56,                0.67889,                 1.1382,                0.52504,                 1.0824,                0.99542,                      1,                  0.995,                0.81282,                0.99542,                      1,                  0.995,                0.81132,                0.70227,                 1.1195,                0.44479,                 1.1833,              0.0009308,              0.0009308,              0.0009308
                     57,                0.70989,                 1.2865,                0.55383,                 1.1118,                0.97376,                      1,                0.99256,                0.81528,                0.97376,                      1,                0.99256,                0.79839,                0.68731,                 1.1245,                0.46954,                  1.158,               0.000911,               0.000911,               0.000911
                     58,                0.74779,                 1.2089,                0.55391,                  1.156,                0.99681,                      1,                  0.995,                0.80001,                0.99681,                      1,                  0.995,                0.78643,                0.73029,                 1.2173,                0.48553,                 1.2228,              0.0008912,              0.0008912,              0.0008912
                     59,                0.70587,                   1.21,                0.54546,                 1.1281,                0.99833,                      1,                  0.995,                0.79621,                0.99833,                      1,                  0.995,                0.78173,                0.76162,                 1.1516,                0.47333,                 1.2462,              0.0008714,              0.0008714,              0.0008714
                     60,                 0.6581,                 1.1301,                0.50431,                 1.0988,                 0.9512,                0.97461,                0.99117,                0.80603,                 0.9512,                0.97461,                0.99117,                0.80444,                0.75153,                 1.1299,                0.47681,                 1.2342,              0.0008516,              0.0008516,              0.0008516
                     61,                0.71028,                 1.1349,                0.54135,                 1.1153,                  0.969,                      1,                0.99378,                0.79688,                  0.969,                      1,                0.99378,                0.79021,                0.76247,                  1.231,                0.47586,                 1.2466,              0.0008318,              0.0008318,              0.0008318
                     62,                0.69706,                 1.1054,                 0.5142,                 1.1133,                0.95133,                      1,                 0.9933,                0.77743,                0.95133,                      1,                 0.9933,                0.78782,                 0.7868,                 1.1965,                0.45928,                 1.2659,               0.000812,               0.000812,               0.000812
